pelicula,genero,duracion,minutosVistos,porcentajeVisto,numeroVistas,calificacionUsuario,clasificacion
The Matrix,Ciencia Ficcion,136,136.0,100.0,0.0,3.1108288340058494,1
The Godfather,Crimen,175,53.0,30.28571428571429,1.0,2.4976794943960083,0
The Lord of the Rings,Fantasia,178,77.0,43.258426966292134,4.0,1.2929031361352938,0
Forrest Gump,Drama,142,132.0,92.95774647887323,4.0,3.8336597566790673,1
La La Land,Musical,128,108.0,84.375,4.0,4.315253936277284,1
Coco,Infantil,105,30.0,28.57142857142857,2.0,5.0,1
The Godfather,Crimen,175,148.0,84.57142857142857,4.0,5.0,1
The Godfather,Crimen,175,54.0,30.857142857142854,0.0,4.056907720266567,0
The Matrix,Ciencia Ficcion,136,40.0,29.411764705882355,4.0,1.8416579259262584,-1
The Godfather,Crimen,175,76.0,43.42857142857143,0.0,2.7807513817893894,0
La La Land,Musical,128,103.0,80.46875,4.0,4.310332587962267,1
Titanic,Romance,195,78.0,40.0,0.0,2.043758847687206,0
Gladiator,Accion,155,44.0,28.387096774193548,4.0,2.6685745240188923,0
The Lord of the Rings,Fantasia,178,132.0,74.15730337078652,4.0,1.175503328785403,0
Inception,Ciencia Ficcion,148,123.0,83.1081081081081,7.0,3.3952317944951806,1
La La Land,Musical,128,93.0,72.65625,4.0,4.0707132078712185,0
Gladiator,Accion,155,12.0,7.741935483870968,5.0,4.8969264618024315,1
La La Land,Musical,128,24.0,18.75,5.0,3.5925060268252857,0
Inception,Ciencia Ficcion,148,94.0,63.51351351351351,1.0,3.9383147623715655,0
The Shawshank Redemption,Suspenso,144,71.0,49.30555555555556,5.0,1.1403418556219718,0
Avengers: Endgame,Accion,181,20.0,11.049723756906078,7.0,1.0986455557364896,-1
The Shawshank Redemption,Suspenso,144,25.0,17.36111111111111,5.0,2.310953773529277,-1
The Godfather,Crimen,175,138.0,78.85714285714286,5.0,4.459306823546354,1
Fight Club,Drama,139,124.0,89.20863309352518,6.0,2.342293458243912,1
Fight Club,Drama,139,93.0,66.90647482014388,2.0,4.976070427117209,1
Inception,Ciencia Ficcion,148,37.0,25.0,0.0,1.652061978939162,-1
Forrest Gump,Drama,142,64.0,45.07042253521127,0.0,1.8358025656672456,0
The Matrix,Ciencia Ficcion,136,27.0,19.852941176470587,3.0,2.2872876782811424,0
The Godfather,Crimen,175,29.0,16.57142857142857,0.0,3.1140548747810612,0
The Matrix,Ciencia Ficcion,136,68.0,50.0,10.0,3.700721873398075,0
Gladiator,Accion,155,37.0,23.870967741935484,3.0,3.006170166080621,0
Fight Club,Drama,139,7.0,5.0359712230215825,1.0,1.3583791770783908,-1
Pulp Fiction,Crimen,154,18.0,11.688311688311687,2.0,3.3596210464162484,0
The Lord of the Rings,Fantasia,178,28.0,15.730337078651685,3.0,3.966215374708787,0
Gladiator,Accion,155,44.0,28.387096774193548,2.0,4.832992744268672,1
Avengers: Endgame,Accion,181,18.0,9.94475138121547,0.0,1.4388029453105045,-1
The Lord of the Rings,Fantasia,178,50.0,28.08988764044944,6.0,1.1680060671065826,-1
Titanic,Romance,195,8.0,4.102564102564102,1.0,4.42671511797612,1
Gladiator,Accion,155,95.0,61.29032258064516,1.0,2.4114149103491695,0
Inception,Ciencia Ficcion,148,2.0,1.3513513513513513,3.0,2.273585571962894,-1
Titanic,Romance,195,68.0,34.87179487179487,5.0,3.245703321593558,0
Interstellar,Ciencia Ficcion,169,119.0,70.41420118343196,3.0,4.389521814157693,1
Gladiator,Accion,155,12.0,7.741935483870968,0.0,1.9390990042251368,-1
Titanic,Romance,195,71.0,36.41025641025641,1.0,3.487484556370615,0
The Godfather,Crimen,175,158.0,90.28571428571428,0.0,3.529479088203904,1
The Lord of the Rings,Fantasia,178,25.0,14.04494382022472,0.0,3.033091371604903,0
The Dark Knight,Accion,152,81.0,53.289473684210535,1.0,2.9823665803224904,0
The Dark Knight,Accion,152,111.0,73.02631578947368,2.0,4.692028168896959,1
The Godfather,Crimen,175,79.0,45.14285714285714,5.0,2.9876863486140848,0
La La Land,Musical,128,59.0,46.09375,0.0,5.0,1
Interstellar,Ciencia Ficcion,169,2.0,1.183431952662722,1.0,1.0,-1
Avengers: Endgame,Accion,181,99.0,54.69613259668509,5.0,4.596085510847707,1
Interstellar,Ciencia Ficcion,169,8.0,4.733727810650888,1.0,4.098966821902752,0
Inception,Ciencia Ficcion,148,16.0,10.81081081081081,2.0,3.965226602922951,0
Fight Club,Drama,139,19.0,13.66906474820144,1.0,1.0,-1
The Matrix,Ciencia Ficcion,136,51.0,37.5,2.0,2.7917424711679533,0
The Lord of the Rings,Fantasia,178,130.0,73.03370786516854,1.0,4.80684696739182,1
Interstellar,Ciencia Ficcion,169,7.0,4.142011834319527,2.0,2.4195722648258924,-1
Pulp Fiction,Crimen,154,137.0,88.96103896103897,5.0,4.343216820687936,1
Inception,Ciencia Ficcion,148,148.0,100.0,1.0,1.9773064093597736,1
The Shawshank Redemption,Suspenso,144,20.0,13.88888888888889,5.0,3.8522306641038586,0
Forrest Gump,Drama,142,8.0,5.633802816901409,2.0,5.0,1
The Shawshank Redemption,Suspenso,144,35.0,24.305555555555554,6.0,4.845394100601084,1
Avengers: Endgame,Accion,181,72.0,39.77900552486188,3.0,4.782272783619831,1
Inception,Ciencia Ficcion,148,68.0,45.94594594594595,4.0,3.8545438807805423,0
The Lord of the Rings,Fantasia,178,101.0,56.74157303370787,0.0,2.840687718345672,0
Titanic,Romance,195,106.0,54.35897435897436,0.0,2.7847637177849007,0
Gladiator,Accion,155,83.0,53.5483870967742,2.0,2.9907039092429653,0
The Matrix,Ciencia Ficcion,136,107.0,78.67647058823529,0.0,4.850457521993333,1
Forrest Gump,Drama,142,73.0,51.40845070422535,6.0,2.276890906528409,0
The Shawshank Redemption,Suspenso,144,144.0,100.0,3.0,1.2767054107528781,1
La La Land,Musical,128,41.0,32.03125,1.0,1.0,-1
Forrest Gump,Drama,142,135.0,95.07042253521126,3.0,4.102513525436737,1
Pulp Fiction,Crimen,154,13.0,8.441558441558442,3.0,1.0,-1
Pulp Fiction,Crimen,154,20.0,12.987012987012985,6.0,4.363569042660222,1
Titanic,Romance,195,172.0,88.2051282051282,8.0,3.585468526980578,1
Avengers: Endgame,Accion,181,56.0,30.939226519337016,0.0,1.7005071019516342,-1
Pulp Fiction,Crimen,154,51.0,33.116883116883116,0.0,2.3041457119730646,0
Inception,Ciencia Ficcion,148,34.0,22.972972972972975,2.0,1.5119671072849181,-1
The Matrix,Ciencia Ficcion,136,88.0,64.70588235294117,5.0,3.3609782433709077,0
The Lord of the Rings,Fantasia,178,9.0,5.056179775280898,3.0,3.1304398858138107,0
Titanic,Romance,195,33.0,16.923076923076923,4.0,2.3035144275357915,-1
Inception,Ciencia Ficcion,148,135.0,91.21621621621621,0.0,4.026686083472413,1
The Dark Knight,Accion,152,152.0,100.0,3.0,3.034121546962227,1
La La Land,Musical,128,42.0,32.8125,4.0,2.332142110925363,-1
Gladiator,Accion,155,105.0,67.74193548387096,0.0,1.9930750188091593,0
Coco,Infantil,105,30.0,28.57142857142857,6.0,4.893041805847451,1
Gladiator,Accion,155,37.0,23.870967741935484,4.0,4.66299234344654,1
Pulp Fiction,Crimen,154,131.0,85.06493506493507,4.0,3.3483359093279836,1
The Dark Knight,Accion,152,11.0,7.236842105263158,3.0,4.442692236358549,1
Interstellar,Ciencia Ficcion,169,119.0,70.41420118343196,0.0,2.7090695757920273,0
Interstellar,Ciencia Ficcion,169,148.0,87.57396449704143,1.0,3.123194727103574,1
The Lord of the Rings,Fantasia,178,109.0,61.23595505617978,5.0,3.0999830059693334,0
Pulp Fiction,Crimen,154,47.0,30.519480519480517,0.0,1.4512541490302975,-1
The Shawshank Redemption,Suspenso,144,14.0,9.722222222222223,4.0,1.9827799924790446,-1
Inception,Ciencia Ficcion,148,67.0,45.27027027027027,0.0,1.0,0
Pulp Fiction,Crimen,154,122.0,79.22077922077922,3.0,3.076649083928735,0
Fight Club,Drama,139,14.0,10.071942446043165,2.0,1.8304720173074225,-1
Forrest Gump,Drama,142,114.0,80.28169014084507,4.0,1.858811009930565,1
The Lord of the Rings,Fantasia,178,8.0,4.49438202247191,3.0,3.126679500434705,0
Gladiator,Accion,155,72.0,46.45161290322581,1.0,4.545065030863691,1
Interstellar,Ciencia Ficcion,169,44.0,26.035502958579883,3.0,3.6754306871900964,1
La La Land,Musical,128,57.0,44.53125,0.0,2.241882463251552,0
The Godfather,Crimen,175,18.0,10.285714285714285,5.0,4.11847596791727,1
Coco,Infantil,105,74.0,70.47619047619048,3.0,1.5886566460438751,0
Interstellar,Ciencia Ficcion,169,73.0,43.19526627218935,0.0,5.0,1
The Lord of the Rings,Fantasia,178,42.0,23.595505617977526,1.0,3.2910875207805206,0
Gladiator,Accion,155,58.0,37.41935483870968,0.0,1.1134458943470875,-1
The Lord of the Rings,Fantasia,178,63.0,35.39325842696629,2.0,4.435812270834663,1
Forrest Gump,Drama,142,134.0,94.36619718309859,2.0,2.7396656753343085,1
Gladiator,Accion,155,30.0,19.35483870967742,4.0,1.0,-1
Avengers: Endgame,Accion,181,80.0,44.19889502762431,3.0,1.2506875938743216,0
The Godfather,Crimen,175,28.0,16.0,2.0,3.0487726169242495,0
Pulp Fiction,Crimen,154,14.0,9.090909090909092,2.0,1.4603277747834045,-1
Avengers: Endgame,Accion,181,75.0,41.43646408839779,1.0,2.6146414696202283,0
The Dark Knight,Accion,152,40.0,26.31578947368421,1.0,4.64444070047843,1
La La Land,Musical,128,104.0,81.25,0.0,3.115171544278321,1
The Godfather,Crimen,175,2.0,1.1428571428571428,5.0,4.988427440288579,1
Gladiator,Accion,155,89.0,57.41935483870968,2.0,2.5883327458620213,0
Gladiator,Accion,155,65.0,41.935483870967744,1.0,4.0920467292820994,1
Fight Club,Drama,139,23.0,16.546762589928058,4.0,2.5530159432151507,0
Titanic,Romance,195,31.0,15.897435897435896,2.0,4.9993465123639105,1
Fight Club,Drama,139,104.0,74.82014388489209,2.0,5.0,1
The Matrix,Ciencia Ficcion,136,59.0,43.38235294117647,0.0,1.0,0
Fight Club,Drama,139,14.0,10.071942446043165,5.0,2.4340064029382473,-1
Inception,Ciencia Ficcion,148,87.0,58.78378378378378,3.0,5.0,1
The Dark Knight,Accion,152,32.0,21.052631578947366,7.0,2.504156822541407,0
Avengers: Endgame,Accion,181,109.0,60.22099447513812,1.0,3.2013830001725365,0
Forrest Gump,Drama,142,71.0,50.0,5.0,2.2219638707106664,0
Avengers: Endgame,Accion,181,128.0,70.71823204419888,1.0,4.081871252755366,1
Avengers: Endgame,Accion,181,110.0,60.773480662983424,4.0,3.382367472406554,0
The Godfather,Crimen,175,34.0,19.428571428571427,0.0,2.085370837872355,-1
Gladiator,Accion,155,4.0,2.5806451612903225,4.0,4.733385376537085,1
The Matrix,Ciencia Ficcion,136,52.0,38.23529411764706,3.0,4.596696322374909,1
The Matrix,Ciencia Ficcion,136,121.0,88.97058823529412,2.0,1.2002025953202309,1
Forrest Gump,Drama,142,103.0,72.53521126760563,5.0,2.005152494409426,0
The Dark Knight,Accion,152,68.0,44.73684210526316,2.0,3.1099589096698526,0
The Godfather,Crimen,175,51.0,29.142857142857142,1.0,1.1244505041548893,-1
Interstellar,Ciencia Ficcion,169,11.0,6.508875739644971,1.0,4.729283310693382,1
The Lord of the Rings,Fantasia,178,6.0,3.3707865168539324,3.0,1.8269970268625184,-1
Fight Club,Drama,139,42.0,30.215827338129497,2.0,1.0,-1
The Lord of the Rings,Fantasia,178,58.0,32.58426966292135,3.0,2.061464413292251,0
The Lord of the Rings,Fantasia,178,21.0,11.797752808988763,0.0,1.9146131379491544,-1
Pulp Fiction,Crimen,154,106.0,68.83116883116884,1.0,3.50902423488231,0
The Lord of the Rings,Fantasia,178,68.0,38.20224719101123,0.0,1.0,-1
The Matrix,Ciencia Ficcion,136,119.0,87.5,5.0,1.6629130415497562,1
Fight Club,Drama,139,46.0,33.093525179856115,6.0,3.2702569933426107,0
Fight Club,Drama,139,20.0,14.388489208633093,6.0,1.9295521477562327,-1
Inception,Ciencia Ficcion,148,16.0,10.81081081081081,0.0,3.3008949067609055,0
The Dark Knight,Accion,152,13.0,8.552631578947368,1.0,1.381396890541589,-1
Pulp Fiction,Crimen,154,49.0,31.818181818181817,2.0,2.068368600945515,-1
The Lord of the Rings,Fantasia,178,5.0,2.8089887640449436,4.0,2.0725805886270776,-1
Titanic,Romance,195,5.0,2.564102564102564,5.0,5.0,1
Interstellar,Ciencia Ficcion,169,6.0,3.5502958579881656,0.0,3.825075305243042,0
Avengers: Endgame,Accion,181,117.0,64.64088397790056,6.0,2.7128620105160888,0
Gladiator,Accion,155,42.0,27.09677419354839,7.0,3.481554648564472,0
Inception,Ciencia Ficcion,148,115.0,77.7027027027027,7.0,5.0,1
Fight Club,Drama,139,88.0,63.30935251798561,4.0,2.5707859508228648,0
Fight Club,Drama,139,16.0,11.510791366906476,4.0,2.623244617109393,0
The Shawshank Redemption,Suspenso,144,57.0,39.58333333333333,6.0,1.0399289471617297,-1
Pulp Fiction,Crimen,154,28.0,18.181818181818183,6.0,2.760687374879124,0
The Lord of the Rings,Fantasia,178,53.0,29.775280898876407,4.0,2.382097923199372,-1
La La Land,Musical,128,116.0,90.625,2.0,4.0795302128754525,1
Pulp Fiction,Crimen,154,113.0,73.37662337662337,0.0,1.845317903997268,0
The Shawshank Redemption,Suspenso,144,144.0,100.0,1.0,1.141966833514032,1
Coco,Infantil,105,36.0,34.285714285714285,0.0,3.0221348379085047,0
Avengers: Endgame,Accion,181,118.0,65.19337016574586,5.0,3.4498148992823596,0
Pulp Fiction,Crimen,154,51.0,33.116883116883116,4.0,3.5158356296691204,0
Fight Club,Drama,139,9.0,6.474820143884892,4.0,2.0386404173570463,-1
The Matrix,Ciencia Ficcion,136,22.0,16.176470588235293,5.0,3.6335357847080325,0
The Godfather,Crimen,175,83.0,47.42857142857143,3.0,1.560679665767673,0
Fight Club,Drama,139,139.0,100.0,7.0,4.414891085012834,1
Inception,Ciencia Ficcion,148,57.0,38.513513513513516,3.0,1.0,-1
The Dark Knight,Accion,152,51.0,33.55263157894737,6.0,3.361588484120298,0
Coco,Infantil,105,105.0,100.0,0.0,4.506711510251998,1
The Shawshank Redemption,Suspenso,144,82.0,56.94444444444444,2.0,1.0,0
Interstellar,Ciencia Ficcion,169,43.0,25.443786982248522,4.0,2.987652598999073,0
Gladiator,Accion,155,155.0,100.0,0.0,3.9049595916322333,1
Interstellar,Ciencia Ficcion,169,17.0,10.059171597633137,2.0,2.4218992554250414,0
La La Land,Musical,128,124.0,96.875,0.0,3.544146202167612,1
Fight Club,Drama,139,73.0,52.51798561151079,0.0,1.0,0
Inception,Ciencia Ficcion,148,72.0,48.64864864864865,0.0,3.519670721724932,1
The Lord of the Rings,Fantasia,178,47.0,26.40449438202247,3.0,5.0,1
Fight Club,Drama,139,64.2146,46.19755395683454,5.0,4.794783495492998,1
The Dark Knight,Accion,152,17.0,11.18421052631579,5.0,2.730626810691574,0
The Matrix,Ciencia Ficcion,136,29.0,21.323529411764707,1.0,3.072066403549858,0
Avengers: Endgame,Accion,181,6.0,3.314917127071823,6.0,3.4495727686619464,0
Titanic,Romance,195,2.0,1.0256410256410255,2.0,5.0,1
Gladiator,Accion,155,133.0,85.80645161290322,3.0,1.5782687521187833,1
The Dark Knight,Accion,152,14.0,9.210526315789473,0.0,3.903703798258529,1
The Shawshank Redemption,Suspenso,144,90.0,62.5,1.0,1.1727362567184092,0
The Lord of the Rings,Fantasia,178,145.0,81.46067415730337,3.0,3.7934086376021745,1
The Shawshank Redemption,Suspenso,144,119.0,82.63888888888889,5.0,1.4401974881352788,1
Fight Club,Drama,139,25.0,17.985611510791365,2.0,4.178519883868581,1
Inception,Ciencia Ficcion,148,39.0,26.351351351351347,5.0,1.4106121144555466,-1
The Dark Knight,Accion,152,7.0,4.605263157894736,5.0,1.420080855002782,-1
Forrest Gump,Drama,142,42.0,29.577464788732392,1.0,3.5688575109974523,1
The Lord of the Rings,Fantasia,178,30.0,16.853932584269664,3.0,5.0,1
La La Land,Musical,128,26.0,20.3125,7.0,4.980192251829867,1
Inception,Ciencia Ficcion,148,96.0,64.86486486486487,6.0,3.5999651547554623,0
The Matrix,Ciencia Ficcion,136,43.0,31.61764705882353,1.0,3.815435376086885,1
The Lord of the Rings,Fantasia,178,64.0,35.95505617977528,0.0,3.1078439075987645,0
The Shawshank Redemption,Suspenso,144,16.0,11.11111111111111,3.0,1.1278477601378154,-1
The Lord of the Rings,Fantasia,178,79.0,44.38202247191011,6.0,4.890989237318944,1
Titanic,Romance,195,88.0,45.12820512820513,0.0,2.077541050531239,0
Fight Club,Drama,139,129.0,92.80575539568345,6.0,4.248294195150793,1
Pulp Fiction,Crimen,154,73.0,47.4025974025974,0.0,2.1518651401658904,0
The Shawshank Redemption,Suspenso,144,65.0,45.13888888888889,7.0,4.130635166223246,1
Titanic,Romance,195,18.0,9.230769230769232,4.0,2.755405791419655,0
La La Land,Musical,128,73.0,57.03125,10.0,1.4456325403307448,0
Coco,Infantil,105,105.0,100.0,2.0,1.9403075569051287,1
Gladiator,Accion,155,64.0,41.29032258064516,3.0,3.3590942616228703,0
The Godfather,Crimen,175,137.0,78.28571428571428,4.0,1.0,0
Pulp Fiction,Crimen,154,14.0,9.090909090909092,1.0,1.0,-1
Fight Club,Drama,139,119.0,85.61151079136691,3.0,3.223719568219676,1
Forrest Gump,Drama,142,38.0,26.76056338028169,11.0,1.0737224578162685,-1
Pulp Fiction,Crimen,154,55.0,35.714285714285715,0.0,2.0369560414473584,-1
Gladiator,Accion,155,89.0,57.41935483870968,5.0,2.2010152934829867,0
Inception,Ciencia Ficcion,148,88.0,59.45945945945946,4.0,2.1948632452595165,0
Forrest Gump,Drama,142,136.0,95.77464788732394,0.0,1.4823173839641597,1
The Shawshank Redemption,Suspenso,144,9.0,6.25,3.0,4.315159701816726,1
Forrest Gump,Drama,142,89.0,62.676056338028175,3.0,4.173402270738672,1
The Dark Knight,Accion,152,59.0,38.81578947368421,2.0,2.579928829313585,0
Gladiator,Accion,155,106.0,68.38709677419355,0.0,3.2783737013600898,0
Coco,Infantil,105,14.0,13.333333333333334,3.0,1.7257444228556276,-1
The Lord of the Rings,Fantasia,178,44.0,24.719101123595504,1.0,3.5664207600595628,0
Titanic,Romance,195,77.0,39.48717948717949,2.0,1.8453403822929322,-1
Pulp Fiction,Crimen,154,61.0,39.61038961038961,0.0,4.692492370076479,1
The Dark Knight,Accion,152,51.0,33.55263157894737,0.0,4.447499211421967,1
Avengers: Endgame,Accion,181,87.0,48.06629834254144,2.0,1.719772346885728,0
Forrest Gump,Drama,142,90.0,63.38028169014085,3.0,5.0,1
The Dark Knight,Accion,152,88.0,57.89473684210527,7.0,1.3574331094210428,0
La La Land,Musical,128,118.0,92.1875,5.0,3.2178200637471908,1
Interstellar,Ciencia Ficcion,169,63.0,37.278106508875744,1.0,1.9019410331269657,-1
Gladiator,Accion,155,55.0,35.483870967741936,4.0,4.755909860706777,1
Titanic,Romance,195,53.0,27.17948717948718,0.0,1.7438536357223131,-1
The Matrix,Ciencia Ficcion,136,124.0,91.17647058823529,0.0,4.3558263907198995,1
Inception,Ciencia Ficcion,148,56.0,37.83783783783784,1.0,2.8615544260421246,0
Forrest Gump,Drama,142,120.0,84.50704225352112,4.0,3.7522937720239646,1
Gladiator,Accion,155,43.0,27.741935483870968,1.0,4.296981870893027,1
The Matrix,Ciencia Ficcion,136,104.0,76.47058823529412,0.0,2.641026664885912,0
The Matrix,Ciencia Ficcion,136,33.0,24.264705882352942,1.0,3.608374985138231,0
Avengers: Endgame,Accion,181,76.0,41.988950276243095,3.0,4.543665841097202,1
Fight Club,Drama,139,76.0,54.67625899280576,1.0,3.7587996375103776,1
Titanic,Romance,195,20.0,10.256410256410255,0.0,1.8692543443979832,-1
The Dark Knight,Accion,152,134.0,88.1578947368421,2.0,2.177912007334424,1
The Matrix,Ciencia Ficcion,136,55.0,40.44117647058824,2.0,4.136819853188516,1
Interstellar,Ciencia Ficcion,169,22.0,13.017751479289942,7.0,1.3947642780960954,-1
Avengers: Endgame,Accion,181,104.0,57.4585635359116,3.0,3.2402171830742725,0
Gladiator,Accion,155,52.0,33.5483870967742,4.0,4.683497084639478,1
Avengers: Endgame,Accion,181,95.0,52.48618784530387,2.0,3.2940487425216736,0
The Godfather,Crimen,175,19.0,10.857142857142858,4.0,2.510842828279997,-1
The Godfather,Crimen,175,86.0,49.142857142857146,0.0,4.973943784239729,1
The Lord of the Rings,Fantasia,178,2.0,1.1235955056179776,0.0,3.0235581085412186,0
Avengers: Endgame,Accion,181,110.0,60.773480662983424,1.0,4.234485183110942,1
La La Land,Musical,128,21.0,16.40625,4.0,3.970905838908651,1
The Lord of the Rings,Fantasia,178,64.0,35.95505617977528,4.0,3.478465552519036,0
Forrest Gump,Drama,142,3.0,2.112676056338028,3.0,2.1847923638198044,0
The Lord of the Rings,Fantasia,178,29.0,16.292134831460675,0.0,1.8422543743516213,-1
The Shawshank Redemption,Suspenso,144,82.0,56.94444444444444,4.0,5.0,1
The Dark Knight,Accion,152,53.0,34.868421052631575,0.0,3.740851858727464,1
The Shawshank Redemption,Suspenso,144,24.0,16.666666666666664,3.0,1.0,-1
The Matrix,Ciencia Ficcion,136,22.0,16.176470588235293,5.0,2.265151738677727,-1
Gladiator,Accion,155,56.0,36.12903225806451,4.0,1.9911964714571353,-1
Forrest Gump,Drama,142,13.0,9.15492957746479,4.0,2.6536619390719656,0
Pulp Fiction,Crimen,154,13.0,8.441558441558442,3.0,5.0,1
The Matrix,Ciencia Ficcion,136,51.0,37.5,3.0,2.06076507636738,-1
The Dark Knight,Accion,152,18.0,11.842105263157894,1.0,1.3222315198638042,-1
The Godfather,Crimen,175,3.0,1.7142857142857144,0.0,2.6275508440635518,0
Titanic,Romance,195,57.0,29.230769230769234,0.0,4.8474076762175695,1
La La Land,Musical,128,102.0,79.6875,0.0,2.864482337407159,0
The Lord of the Rings,Fantasia,178,66.0,37.07865168539326,5.0,1.597675079529488,-1
Fight Club,Drama,139,73.0,52.51798561151079,1.0,4.380312653721204,0
Gladiator,Accion,155,61.0,39.35483870967742,6.0,3.9529599752890348,1
Inception,Ciencia Ficcion,148,111.0,75.0,0.0,4.404937636099389,1
Titanic,Romance,195,88.0,45.12820512820513,7.0,2.317385731313195,0
The Shawshank Redemption,Suspenso,144,7.0,4.861111111111112,3.0,1.881581157731479,-1
The Lord of the Rings,Fantasia,178,31.0,17.415730337078653,2.0,3.3961997487007602,0
Forrest Gump,Drama,142,3.0,2.112676056338028,0.0,2.9663027908550434,0
The Shawshank Redemption,Suspenso,144,20.0,13.88888888888889,0.0,4.79966823204546,1
Gladiator,Accion,155,18.0,11.612903225806452,2.0,3.981653429388457,0
The Shawshank Redemption,Suspenso,144,85.0,59.02777777777778,0.0,3.577799877359031,0
Gladiator,Accion,155,63.0,40.64516129032258,4.0,2.5973848865964975,0
The Shawshank Redemption,Suspenso,144,30.0,20.833333333333336,2.0,2.3471820102388214,0
Titanic,Romance,195,106.0,54.35897435897436,0.0,1.854257509717962,0
Avengers: Endgame,Accion,181,19.0,10.497237569060774,0.0,3.4778848814763315,0
Interstellar,Ciencia Ficcion,169,85.0,50.29585798816568,4.0,3.6613653356316105,1
Titanic,Romance,195,81.0,41.53846153846154,2.0,1.2287039298376707,0
Avengers: Endgame,Accion,181,33.0,18.23204419889503,4.0,3.347690650852432,0
Pulp Fiction,Crimen,154,54.0,35.064935064935064,4.0,5.0,1
The Matrix,Ciencia Ficcion,136,128.0,94.11764705882352,6.0,4.966484158177892,1
